radius_m,distance_m,fs_hz,theta_deg,actual_rounding_shift_deg,corner_bound_deg,disk_bound_deg,linear_bound_deg,rho_over_u
0.025,0.5,16000,-78.87,11.52784726006476,35.04125747159756,35.3005493153538,31.403388611442445,0.5778654489631028
0.025,0.5,16000,-78.37,12.043434277957772,34.98626216067049,35.29294098206954,31.490609043694604,0.5777570693130302
0.025,0.5,16000,-77.87,12.55872915895489,34.92666223753298,35.2850468018381,31.574971299676143,0.5776446070438592
0.025,0.5,16000,-77.37,13.073721271814293,34.86238554840085,35.27687276594229,31.65647482441892,0.5775281463323783
0.025,0.5,16000,-76.87,13.588400217969394,34.793359507936856,35.26842506569159,31.73511986075586,0.5774077741987248
0.025,0.5,16000,-76.37,14.10275583897129,34.71951111625606,35.259710086469035,31.810907438777452,0.5772835804260192
0.025,0.5,16000,-75.87,14.61677822369407,34.64076697734902,35.2507344016299,31.88383936444585,0.5771556574779038
0.025,0.5,16000,-75.37,15.13045771529508,34.55705331903613,35.241504766263965,31.953918207393908,0.5770241004141344
0.025,0.5,16000,-74.87,15.64378491792678,34.46829601456915,35.23202811082957,32.021147287935634,0.576889006804332
0.025,0.5,16000,-74.37,16.15675070319503,34.37442060600415,35.222311534669295,32.08553066331659,0.5767504766400133
0.025,0.5,16000,-73.87,13.330653783640685,34.275352329476135,35.2123622994168,32.14707311323357,0.5766086122450282
0.025,0.5,16000,-73.37,12.81843711772828,34.171016142512485,35.202187822304644,32.20578012465416,0.5764635181845227
0.025,0.5,16000,-72.87,12.306607588950044,34.06133675352987,35.19179566938342,32.26165787596815,0.5763153011725666
0.025,0.5,16000,-72.37,11.795173196516544,33.94623865366242,35.181193548659856,32.314713220501105,0.5761640699785366
0.025,0.5,16000,-71.87,11.28414164383176,33.82564615108262,35.170389303167084,32.36495366942615,0.576009935332432
0.025,0.5,16000,-71.37,10.773520333631723,33.699483407974924,35.159390903972515,32.4123873741039,0.5758530098291881
0.025,0.5,16000,-70.87,10.263316363396797,33.56767448033372,35.14820644313465,32.45702310788634,0.5756934078321344
0.025,0.5,16000,-70.37,9.753536521041696,33.4301433607655,35.13684412661964,32.49887024741976,0.5755312453757421
0.025,0.5,16000,-69.87,9.244187280881278,33.28681402447404,35.12531226718258,32.537938753478855,0.5753666400677192
0.025,0.5,16000,-69.37,8.735274799875896,33.13761047862522,35.11361927722847,32.57423915137116,0.5751997109906577
