group,frames_averaged,duration_s,cov_prediction_rmse_deg,iid_prediction_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
high,32,1.3653333333333333,11.599114837290408,11.857302045844948,36,180,720,11.156070169537909,10.43326117281129,11.814651070338737,4.680021710067889,16.112035069330567,1.9291466042618364,1.8476170841152428,0.9821751770202943,1.465559898166507,2.251891273066088,0.4736111111111111,0.45,0.4986111111111111
high,64,2.7306666666666666,10.708683351524545,10.896350986270706,36,180,360,10.407362256643209,9.713924481231993,11.041314291706271,4.231582130691107,14.681953109037343,1.9375542413860243,1.87479940879635,0.9844575218235481,1.5139316161835,2.272931097678468,0.45555555555555555,0.42777777777777776,0.4861111111111111
high,128,5.461333333333333,10.272000068191947,10.382576333492786,36,180,180,10.041149686774991,9.298006701340901,10.699507252045503,4.3675209634719625,14.017628204236582,1.9642942220623143,1.9049822065422721,0.9855376837857265,1.5232898301002753,2.313324709945263,0.45,0.4166666666666667,0.48347222222222147
eligible,1,0.042666666666666665,7.619196881473365,7.619196881473365,48,240,30720,7.717487365915414,7.210537689375681,8.251124780842945,1.2706233193060257,6.099112207820926,0.23351367364210712,0.17214848830422813,0.99298676179914,0.12284159366586937,0.22532017903858462,0.12639973958333334,0.12389322916666666,0.12880859375
eligible,2,0.08533333333333333,5.547518788579955,5.5561533915593335,48,240,15360,5.637404513687463,5.245515642036068,6.0120958765085035,0.9992494593315939,5.019618048037508,0.2452324236421072,0.2166906017255467,0.9955231066946599,0.14533628980493946,0.2879369105389737,0.10013020833333333,0.09733072916666667,0.10299641927083332
eligible,4,0.17066666666666666,4.1472929275151,4.156943613579298,48,240,7680,3.480519614874969,3.2939319480877582,3.669045128916209,0.8485636906695984,4.7030848273349655,0.1943579694925562,0.19131884056328363,0.9981785054266423,0.12913323921718234,0.2534386196168973,0.09231770833333333,0.08841145833333333,0.09635416666666667
eligible,8,0.3413333333333333,3.2027070909104767,3.2380318180105045,48,240,3840,2.7331987296964173,2.6206317112992474,2.8550128470558707,0.7466645541829655,4.291621000603126,0.1863824900753346,0.18539896124359911,0.9988700112698156,0.12918754702190852,0.24166606322788364,0.07942708333333333,0.0734375,0.08541666666666667
eligible,16,0.6826666666666666,2.5914065216736164,2.662176736889151,48,240,1920,2.3732934470480784,2.2676938883239144,2.474226162405084,0.7473856029531687,3.7583701261132854,0.1838136261081276,0.18331396782704704,0.9991483284592676,0.1259485621827672,0.23966400435624421,0.06197916666666667,0.0546875,0.06927083333333334
eligible,32,1.3653333333333333,2.2562361714465333,2.3212824990565983,48,240,960,2.1783769652864082,2.0745157486691426,2.2755560592783057,0.708974003669492,3.596089341837477,0.18138412126257192,0.18111152744583944,0.9992829095996931,0.12764405986159627,0.23615241668647965,0.06145833333333333,0.051041666666666666,0.071875
eligible,64,2.7306666666666666,2.0857025626794004,2.1304779208954,48,240,480,2.081536634360418,1.9765976963909537,2.1887794216318204,0.7073894630402147,3.5236002726751807,0.18035938570834442,0.18014784464728795,0.9993455463135414,0.12625546420549744,0.2360511748804308,0.05625,0.04583333333333333,0.06875
eligible,128,5.461333333333333,2.0024637676409456,2.0283559936364606,48,240,240,2.034286312637605,1.9339165877747448,2.1325153855921597,0.6535255340920592,3.311238215741633,0.17988290113566083,0.17971386288521643,0.9993750809489766,0.12858746619327632,0.23354733810407963,0.05,0.041666666666666664,0.0625
