scene_id,frames_averaged,duration_s,prediction_eligible,predicted_cov_rmse_deg,predicted_iid_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r2p0t0a07,4,0.17066666666666666,1,0.5083783036598177,0.5225556543765247,1,5,160,0.500147596412297,0.47263368174183074,0.526515561888173,0.364570068663004,0.785173207614713,-0.13043631777022924,-0.13043754727398518,0.9999644922346304,-0.18619130322950664,-0.04667269213270256,0.0,0.0,0.0
r2p0t0a07,8,0.3413333333333333,1,0.3480752642732293,0.3792554803303349,1,5,80,0.3728707851674559,0.3384727662283027,0.3999795980285081,0.28024516659859655,0.5848685755880555,-0.13043782308044746,-0.13043816347797843,0.9999814156518778,-0.18618995783183123,-0.040006761668595625,0.0,0.0,0.0
r2p0t0a07,16,0.6826666666666666,1,0.2510921462215857,0.2814602513330267,1,5,40,0.28641570892286244,0.2551346128489666,0.32099219891929737,0.2126747497369747,0.46406658023272995,-0.13044008178164315,-0.13044048446018713,0.9999900970342597,-0.18619489688969487,-0.04582309664419121,0.0,0.0,0.0
r2p0t0a07,32,1.3653333333333333,1,0.18907731621859555,0.2165928206113474,1,5,20,0.21234781159275434,0.19637654246365047,0.22262583835646846,0.17818633111959947,0.31693964157417004,-0.13044148292085087,-0.13044174471448103,0.9999957236993342,-0.18658067787324442,-0.045823731978877486,0.0,0.0,0.0
r2p0t0a07,64,2.7306666666666666,1,0.15689478155940742,0.17538169337289367,1,5,10,0.17392818122827075,0.12438582036991434,0.20341259030358183,0.1749497166702615,0.22935252815179874,-0.13044204676414134,-0.13044208181738448,0.9999979840607395,-0.18619709591663203,-0.04706346459558752,0.0,0.0,0.0
r2p0t0a07,128,5.461333333333333,1,0.13953524813463017,0.15060505497932625,1,5,5,0.15656396137665665,0.11323249562652815,0.18679825546062742,0.1730277128833211,0.1923971319852866,-0.13044220282022953,-0.13044224523333223,0.9999988581261432,-0.1861969319804255,-0.04582525026834314,0.0,0.0,0.0
r2p0t0a08,1,0.042666666666666665,1,0.9890385936482156,0.9890385936482156,1,5,640,1.0053768148233448,0.934143125099633,1.06307374665763,0.7252360000135809,1.6300994402973572,-0.29729862666435175,-0.29730175340038306,0.9998595207395806,-0.3884454284825339,-0.2061598871369555,0.0,0.0,0.0
r2p0t0a08,2,0.08533333333333333,1,0.723377326981444,0.7221998679893595,1,5,320,0.7200574572066639,0.6328777757799491,0.7854482268555324,0.46974561503310497,1.1633843504241022,-0.29729862666435175,-0.2972993197906955,0.9999344947695736,-0.3945499607539911,-0.20615643522295063,0.0,0.0,0.0
r2p0t0a08,4,0.17066666666666666,1,0.5408358588568276,0.5415351365543628,1,5,160,0.5265781365736524,0.4446030324144835,0.5974087473435638,0.34211135896935024,0.8588844171647203,-0.29729752722110386,-0.2972972646587803,0.9999712295881031,-0.3884363293879713,-0.2061589057206416,0.0,0.0,0.0
r2p0t0a08,8,0.3413333333333333,1,0.4195905162596612,0.4232069606262454,1,5,80,0.4020331358034764,0.32718952482357494,0.4690567482393616,0.33545022057605856,0.6032409608906374,-0.2973012997018584,-0.2973015639309074,0.9999888445789399,-0.3884444991031933,-0.20615863941372142,0.0,0.0,0.0
r2p0t0a08,16,0.6826666666666666,1,0.33700964842904374,0.3493222655690308,1,5,40,0.35719625146215256,0.2777244898977434,0.42411768047235315,0.31495988407078046,0.5308167424754545,-0.2973024125617506,-0.2973024947800657,0.9999940294481363,-0.3884449205754909,-0.2148797251501116,0.0,0.0,0.0
r2p0t0a08,32,1.3653333333333333,1,0.2894584339920068,0.3057564424050105,1,5,20,0.32608525794272625,0.23287213639293494,0.40110337396764556,0.29726747713858825,0.4634232670802099,-0.2973025432809856,-0.29730258808083515,0.9999972671596352,-0.38844559275119234,-0.21014177055684097,0.0,0.0,0.0
r2p0t0a08,64,2.7306666666666666,1,0.26993549728274907,0.2814560009968032,1,5,10,0.31564984738159285,0.2107312575327,0.39550233118920114,0.27480930037356915,0.427953690453293,-0.29730295725335965,-0.29730294832106563,0.9999982871708011,-0.38844531558789197,-0.20616060974473283,0.0,0.0,0.0
r2p0t0a08,128,5.461333333333333,1,0.2617844361103173,0.26848225213146676,1,5,5,0.3151423075752593,0.20991940823249536,0.39525708603795207,0.2748082140345839,0.42157279382887347,-0.29730263218909586,-0.2973026225331081,0.9999983359032723,-0.3884450774043115,-0.20616019694544557,0.0,0.0,0.0
r2p0t0a09,1,0.042666666666666665,1,0.9067431263015914,0.9067431263015914,1,5,640,0.989458954789459,0.9486799322014979,1.0233510020284657,0.6735215265601653,1.6115407139668836,0.14961223252381198,0.14960845615731622,0.999854305322847,0.09076995548269118,0.19558228239014064,0.0,0.0,0.0
r2p0t0a09,2,0.08533333333333333,1,0.6406034007277409,0.6461576466872465,1,5,320,0.723440638881311,0.6777925367869785,0.7704852614839903,0.4686055570943779,1.1609197024253946,0.14961223252381198,0.14961126118914178,0.9999236990980878,0.09077156294438835,0.19558913522477026,0.0,0.0,0.0
r2p0t0a09,4,0.17066666666666666,1,0.4537229243993209,0.4638836147257293,1,5,160,0.5352500458430245,0.4867833396186542,0.5796785345513751,0.37384689887363076,0.8649029496543577,0.14961016697552887,0.14961002242548438,0.9999597745910456,0.09076795635510115,0.1955904023188777,0.0,0.0,0.0
r2p0t0a09,8,0.3413333333333333,1,0.3234446406209063,0.3376716746046565,1,5,80,0.380380493753329,0.358906020930687,0.3943254175828481,0.2556694665455208,0.6602490467045299,0.14961041002403674,0.14961074914415856,0.9999813718968166,0.09076921176892877,0.19558742060755147,0.0,0.0,0.0
r2p0t0a09,16,0.6826666666666666,1,0.24307130012927095,0.2518714667046768,1,5,40,0.2740212473144192,0.23992665761357626,0.2997063018826832,0.14094460819124713,0.4892735553898025,0.14960774410223318,0.14960760377848764,0.9999919725683097,0.09702046112713511,0.1955839640027039,0.0,0.0,0.0
r2p0t0a09,32,1.3653333333333333,1,0.18518157958181738,0.19531455064790015,1,5,20,0.22387658001898972,0.17957158190862138,0.25626446217830184,0.141162392073634,0.41808379111989014,0.149609733914652,0.14960964672384008,0.999995775321204,0.09298694827953952,0.19558444377160228,0.0,0.0,0.0
r2p0t0a09,64,2.7306666666666666,1,0.1504101740141219,0.15969358995339852,1,5,10,0.18084500992772168,0.13388620726640063,0.2152742816981278,0.14667881281013742,0.2842221549610423,0.14960954881456942,0.1496095567998097,0.9999984278856833,0.08970753761283135,0.1945196040272421,0.0,0.0,0.0
r2p0t0a09,128,5.461333333333333,1,0.13229514362505207,0.13848890627379037,1,5,5,0.16125358385791702,0.11151773447432238,0.19574125215148702,0.180542487722521,0.19987406223539317,0.14960895517741238,0.14960896529388956,0.9999994486610405,0.09298733855772989,0.19558229011881745,0.0,0.0,0.0
r2p0t0a10,1,0.042666666666666665,1,1.1053058818696793,1.1053058818696793,1,5,640,1.057881524714445,1.0199284872769552,1.101126683584467,0.7009344454514235,1.7153404533060268,0.25778795578312436,0.2577883177522044,0.9998396841041538,0.23064031039949712,0.2951203978190226,0.0,0.0,0.0
