room,rt_index,snr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
1,1,10.0,24,120,3840,19.215037549884386,17.68532782683896,20.634382218336174,4.416146543732097,13.740926443409583,-0.5446310459330725,-0.6556411031229282,0.9579782046315707,-0.934263813779559,-0.3778437638420771,0.44947916666666665,0.4361979166666667,0.46197916666666666
1,1,20.0,24,120,3840,18.4854285188678,16.823551187071768,20.176181880240215,4.427169148038502,13.304904759986819,-0.38855077400525956,-0.5321985966268801,0.9609089605333178,-0.8452579153344149,-0.21970361121696336,0.4421875,0.4302018229166667,0.4549479166666667
1,2,0.0,24,120,3840,56.3965825829768,54.865030055590665,57.8813455835326,14.614937736478083,107.24772936920988,3.09903113015525,1.3288183719173683,0.6770531473446632,0.14060524380271766,2.609292498742148,0.7885416666666667,0.7765625,0.8
1,2,10.0,24,120,3840,53.11183103224325,51.68629231703658,54.5079810080182,12.604948891548219,100.69472824295786,2.734719710757666,0.8753682056198591,0.7098443290845498,-0.30560422708028434,2.003250641899708,0.7739583333333333,0.7625,0.7848958333333333
1,2,20.0,24,120,3840,53.207994001225224,51.7194849660027,54.649330241038,12.579287103347838,100.35247958342278,3.444468879918576,1.0467411006030973,0.7124746345018147,0.12738556644539423,1.9759636643795175,0.7684895833333333,0.7567708333333333,0.78125
2,0,0.0,24,120,3840,3.0677764563321634,2.839126187274246,3.414805456912969,1.928129769778863,4.723453879644685,0.05155947039952031,0.048105971502420894,0.9985847849806085,-0.02040773051337509,0.11470047239898588,0.08177083333333333,0.07421875,0.0890625
2,0,10.0,24,120,3840,1.0597039445174656,1.0415333698895153,1.0777344800653545,0.7234893742915744,1.7349968909610536,0.03776030609935184,0.03775801889879981,0.9998291929660161,0.009178638651260888,0.06725171943829901,0.0,0.0,0.0
2,0,20.0,24,120,3840,0.660905237640347,0.6492457206841383,0.6720790130843038,0.4476532428236908,1.0747007204897614,0.02440842429018335,0.024408628913956124,0.9999335651595378,0.009178787565100936,0.0405780767911027,0.0,0.0,0.0
2,1,0.0,24,120,3840,8.472729270605454,6.919633052469805,9.916662229695083,2.9163022496664297,7.839148911429612,0.18863891640649216,0.13451480756245984,0.991727852503677,-0.012314784002947637,0.2814749825687646,0.26536458333333335,0.25390625,0.27760416666666665
2,1,10.0,24,120,3840,3.0015591653191365,2.9395393785027895,3.0627786726431374,1.8932497150042877,4.920096159861452,0.2906404303668744,0.2905488946207421,0.9986417022063476,0.21693767252449958,0.36310253850684554,0.09583333333333334,0.08723958333333333,0.1046875
2,1,20.0,24,120,3840,2.821034806511893,2.7649480713785817,2.8741245304388947,1.8530944400699525,4.5780260646305235,0.24048225235576481,0.24042093243136414,0.998797519888644,0.17087823595140259,0.3093244714331349,0.07473958333333333,0.06692708333333333,0.08229166666666667
2,2,0.0,24,120,3840,27.362032975504707,25.66962558164658,29.07463336968591,5.694019334856392,20.278752127078835,1.4899248541642767,0.8400794571386765,0.9218178956927721,0.35694793404110464,1.3232811321356506,0.5471354166666667,0.5359375,0.55859375
2,2,10.0,24,120,3840,16.491309620157867,15.337464302032801,17.654523630201567,4.43080498656451,12.736132475767912,1.210608738365957,0.7140659315790484,0.9698861375850412,0.49033911217399484,0.9380064988625454,0.45390625,0.4401041666666667,0.4669270833333333
