group,variant,frame,midpoint_s,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,F_S_R,5,0.23466666666666666,72,360,360,25.157009625650954,19.234705818345606,30.312565833479784,2.024089531071226,18.42287193922732,0.4951062884935458,0.8512480601918692,0.9359041870655421,-0.40891292409609126,2.1212380576153644,0.33055555555555555,0.30277777777777776,0.35833333333333334
all,F_O_R,5,0.23466666666666666,72,360,360,26.457012839892908,20.596507426689364,31.770620265549752,2.1108660722707384,19.71326419168092,-0.5506637905350021,0.7566903871455604,0.929238759876264,-0.5423346979330785,1.9982170155286774,0.33611111111111114,0.3055555555555556,0.3638888888888889
all,F_S_R,6,0.2773333333333333,72,360,360,27.967994553382546,22.969374949827717,32.25500670946897,2.206082630994871,22.4801474017061,0.6878015062520977,0.476195792205206,0.9144238850889563,-1.0304352383860698,2.0694255038759923,0.3138888888888889,0.2833333333333333,0.3416666666666667
all,F_O_R,6,0.2773333333333333,72,360,360,27.48131003818634,22.843828886730186,31.823835370098216,2.27801765535375,22.992016361561706,1.0012497082043932,0.3587074830871705,0.9151016896082496,-1.2357825367131117,2.0861056743633357,0.3138888888888889,0.28888888888888886,0.3416666666666667
all,F_S_R,7,0.32,72,360,360,25.319534692801582,20.3452067885137,29.93104664082235,2.148310193053277,17.12802336727139,1.3231190772515247,0.9881525416162957,0.9329581342709188,-0.06672296798665811,2.1127774634039747,0.3472222222222222,0.31666666666666665,0.375
all,F_O_R,7,0.32,72,360,360,26.009422714595107,20.905280329865306,30.60280845720997,2.0785708413776547,18.91003530147876,1.1522686794368229,0.8125479690840641,0.9291067380505587,-0.4249150760758539,2.0242400098718045,0.3388888888888889,0.3111111111111111,0.36944444444444446
all,F_S_R,8,0.3626666666666667,72,360,360,29.089022452543038,23.602167374721972,33.955908627850036,2.1828095851449802,24.315597478670217,0.15693776704947057,0.4520757975632866,0.9144316698926502,-0.9714746409834123,1.9117142003392467,0.32222222222222224,0.2916666666666667,0.3527777777777778
all,F_O_R,8,0.3626666666666667,72,360,360,29.63227474200018,23.943502914818747,34.828985052782734,2.1758250966472303,25.384981790794413,-0.5974298435529277,0.5028016251698916,0.9127338373604164,-0.9156429119670008,1.9284353198136777,0.3333333333333333,0.30277777777777776,0.3638888888888889
all,F_S_R,9,0.4053333333333333,72,360,360,33.92782189109248,28.224829920695885,39.4508179411184,2.1472805642657136,29.639290996467707,3.3702486067961077,1.2026969198430526,0.89122146586488,-0.32651110450846965,2.769659026246497,0.30833333333333335,0.2777777777777778,0.33611111111111114
all,F_O_R,9,0.4053333333333333,72,360,360,33.96886577361518,27.862254691539864,39.48649249449519,2.0769017024171603,29.64536054896477,3.330391052845028,1.1924267116044873,0.8911002756873483,-0.3382927824161641,2.859738612711525,0.3055555555555556,0.275,0.33611111111111114
all,F_S_R,10,0.448,72,360,360,25.431985465445116,19.67300323651738,30.48013966118068,2.106884824429727,23.154109035510594,0.7678008110484819,-0.27251463981788615,0.9341174190275017,-1.4310236074889378,0.9745446529004502,0.3111111111111111,0.28326388888888887,0.3416666666666667
all,F_O_R,10,0.448,72,360,360,25.76146539434726,20.07818691799978,30.47210672098007,2.1068848236079134,23.78492090865166,0.5541855451579086,-0.47614521097414786,0.9322353925424771,-1.751426395268525,0.7698767367344402,0.30833333333333335,0.2777777777777778,0.3388888888888889
