x,y,t
1.1000000000,-1.9500000000,0.0000716178
1.1000000000,-1.9000000000,0.0000730338
1.1000000000,-1.8500000000,0.0000744971
1.1000000000,-1.8000000000,0.0000760092
1.1000000000,-1.7500000000,0.0000775720
1.1000000000,-1.7000000000,0.0000791869
1.1000000000,-1.6500000000,0.0000808556
1.1000000000,-1.6000000000,0.0000825797
1.1000000000,-1.5500000000,0.0000843606
1.1000000000,-1.5000000000,0.0000861996
1.1000000000,-1.4500000000,0.0000880977
1.1000000000,-1.4000000000,0.0000900560
1.1000000000,-1.3500000000,0.0000920749
1.1000000000,-1.3000000000,0.0000941548
1.1000000000,-1.2500000000,0.0000962953
1.1000000000,-1.2000000000,0.0000984958
1.1000000000,-1.1500000000,0.0001007548
1.1000000000,-1.1000000000,0.0001030701
1.1000000000,-1.0500000000,0.0001054386
1.1000000000,-1.0000000000,0.0001078561
1.1000000000,-0.9500000000,0.0001103171
1.1000000000,-0.9000000000,0.0001128148
1.1000000000,-0.8500000000,0.0001153407
1.1000000000,-0.8000000000,0.0001178847
1.1000000000,-0.7500000000,0.0001204346
1.1000000000,-0.7000000000,0.0001229762
1.1000000000,-0.6500000000,0.0001254933
1.1000000000,-0.6000000000,0.0001279673
1.1000000000,-0.5500000000,0.0001303776
1.1000000000,-0.5000000000,0.0001327016
1.1000000000,-0.4500000000,0.0001349151
1.1000000000,-0.4000000000,0.0001369925
1.1000000000,-0.3500000000,0.0001389075
1.1000000000,-0.3000000000,0.0001406338
1.1000000000,-0.2500000000,0.0001421459
1.1000000000,-0.2000000000,0.0001434201
1.1000000000,-0.1500000000,0.0001444352
1.1000000000,-0.1000000000,0.0001451736
1.1000000000,-0.0500000000,0.0001456222
1.1000000000,-0.0000000000,0.0001457726
1.1500000000,-3.0000000000,0.0000521759
1.1500000000,-2.9500000000,0.0000529444
1.1500000000,-2.9000000000,0.0000537340
1.1500000000,-2.8500000000,0.0000545457
1.1500000000,-2.8000000000,0.0000553801
1.1500000000,-2.7500000000,0.0000562383
1.1500000000,-2.7000000000,0.0000571210
1.1500000000,-2.6500000000,0.0000580292
1.1500000000,-2.6000000000,0.0000589640
1.1500000000,-2.5500000000,0.0000599263
1.1500000000,-2.5000000000,0.0000609171
1.1500000000,-2.4500000000,0.0000619377
1.1500000000,-2.4000000000,0.0000629890
1.1500000000,-2.3500000000,0.0000640724
1.1500000000,-2.3000000000,0.0000651890
1.1500000000,-2.2500000000,0.0000663401
1.1500000000,-2.2000000000,0.0000675271
1.1500000000,-2.1500000000,0.0000687512
1.1500000000,-2.1000000000,0.0000700138
1.1500000000,-2.0500000000,0.0000713163
1.1500000000,-2.0000000000,0.0000726602
1.1500000000,-1.9500000000,0.0000740469
1.1500000000,-1.9000000000,0.0000754779
1.1500000000,-1.8500000000,0.0000769547
1.1500000000,-1.8000000000,0.0000784786
1.1500000000,-1.7500000000,0.0000800511
1.1500000000,-1.7000000000,0.0000816736
1.1500000000,-1.6500000000,0.0000833474
1.1500000000,-1.6000000000,0.0000850736
1.1500000000,-1.5500000000,0.0000868535
1.1500000000,-1.5000000000,0.0000886878
1.1500000000,-1.4500000000,0.0000905772
1.1500000000,-1.4000000000,0.0000925224
1.1500000000,-1.3500000000,0.0000945232
1.1500000000,-1.3000000000,0.0000965795
1.1500000000,-1.2500000000,0.0000986905
1.1500000000,-1.2000000000,0.0001008549
1.1500000000,-1.1500000000,0.0001030707
1.1500000000,-1.1000000000,0.0001053352
1.1500000000,-1.0500000000,0.0001076446
1.1500000000,-1.0000000000,0.0001099944
1.1500000000,-0.9500000000,0.0001123787
1.1500000000,-0.9000000000,0.0001147903
1.1500000000,-0.8500000000,0.0001172205
1.1500000000,-0.8000000000,0.0001196593
1.1500000000,-0.7500000000,0.0001220946
1.1500000000,-0.7000000000,0.0001245129
1.1500000000,-0.6500000000,0.0001268987
1.1500000000,-0.6000000000,0.0001292346
1.1500000000,-0.5500000000,0.0001315017
1.1500000000,-0.5000000000,0.0001336795
1.1500000000,-0.4500000000,0.0001357460
1.1500000000,-0.4000000000,0.0001376786
1.1500000000,-0.3500000000,0.0001394543
1.1500000000,-0.3000000000,0.0001410501
1.1500000000,-0.2500000000,0.0001424441
1.1500000000,-0.2000000000,0.0001436159
1.1500000000,-0.1500000000,0.0001445476
1.1500000000,-0.1000000000,0.0001452243
1.1500000000,-0.0500000000,0.0001456349
1.1500000000,-0.0000000000,0.0001457726
1.2000000000,-3.0000000000,0.0000541372
1.2000000000,-2.9500000000,0.0000549254
1.2000000000,-2.9000000000,0.0000557349
1.2000000000,-2.8500000000,0.0000565665
1.2000000000,-2.8000000000,0.0000574210
1.2000000000,-2.7500000000,0.0000582992
1.2000000000,-2.7000000000,0.0000592021
1.2000000000,-2.6500000000,0.0000601305
1.2000000000,-2.6000000000,0.0000610853
1.2000000000,-2.5500000000,0.0000620675
1.2000000000,-2.5000000000,0.0000630782
1.2000000000,-2.4500000000,0.0000641184
1.2000000000,-2.4000000000,0.0000651892
1.2000000000,-2.3500000000,0.0000662917
1.2000000000,-2.3000000000,0.0000674270
1.2000000000,-2.2500000000,0.0000685963
1.2000000000,-2.2000000000,0.0000698008
1.2000000000,-2.1500000000,0.0000710418
1.2000000000,-2.1000000000,0.0000723205
1.2000000000,-2.0500000000,0.0000736382
1.2000000000,-2.0000000000,0.0000749962
1.2000000000,-1.9500000000,0.0000763957
1.2000000000,-1.9000000000,0.0000778381
1.2000000000,-1.8500000000,0.0000793246
1.2000000000,-1.8000000000,0.0000808563
1.2000000000,-1.7500000000,0.0000824346
1.2000000000,-1.7000000000,0.0000840606
1.2000000000,-1.6500000000,0.0000857351
1.2000000000,-1.6000000000,0.0000874592
1.2000000000,-1.5500000000,0.0000892335
1.2000000000,-1.5000000000,0.0000910587
1.2000000000,-1.4500000000,0.0000929350
1.2000000000,-1.4000000000,0.0000948625
1.2000000000,-1.3500000000,0.0000968409
1.2000000000,-1.3000000000,0.0000988693
1.2000000000,-1.2500000000,0.0001009467
1.2000000000,-1.2000000000,0.0001030712
1.2000000000,-1.1500000000,0.0001052404
1.2000000000,-1.1000000000,0.0001074511
1.2000000000,-1.0500000000,0.0001096992
1.2000000000,-1.0000000000,0.0001119797
1.2000000000,-0.9500000000,0.0001142865
1.2000000000,-0.9000000000,0.0001166122
1.2000000000,-0.8500000000,0.0001189483
1.2000000000,-0.8000000000,0.0001212845
1.2000000000,-0.7500000000,0.0001236095
1.2000000000,-0.7000000000,0.0001259101
1.2000000000,-0.6500000000,0.0001281718
1.2000000000,-0.6000000000,0.0001303784
1.2000000000,-0.5500000000,0.0001325126
1.2000000000,-0.5000000000,0.0001345556
1.2000000000,-0.4500000000,0.0001364879
1.2000000000,-0.4000000000,0.0001382893
1.2000000000,-0.3500000000,0.0001399395
1.2000000000,-0.3000000000,0.0001414185
1.2000000000,-0.2500000000,0.0001427073
1.2000000000,-0.2000000000,0.0001437884
1.2000000000,-0.1500000000,0.0001446464
1.2000000000,-0.1000000000,0.0001452688
1.2000000000,-0.0500000000,0.0001456462
1.2000000000,-0.0000000000,0.0001457726
1.2500000000,-3.0000000000,0.0000560650
1.2500000000,-2.9500000000,0.0000568716
1.2500000000,-2.9000000000,0.0000576995
1.2500000000,-2.8500000000,0.0000585497
1.2500000000,-2.8000000000,0.0000594227
1.2500000000,-2.7500000000,0.0000603194
1.2500000000,-2.7000000000,0.0000612407
1.2500000000,-2.6500000000,0.0000621875
1.2500000000,-2.6000000000,0.0000631605
1.2500000000,-2.5500000000,0.0000641609
1.2500000000,-2.5000000000,0.0000651894
1.2500000000,-2.4500000000,0.0000662471
1.2500000000,-2.4000000000,0.0000673351
1.2500000000,-2.3500000000,0.0000684543
1.2500000000,-2.3000000000,0.0000696059
1.2500000000,-2.2500000000,0.0000707909
1.2500000000,-2.2000000000,0.0000720104
1.2500000000,-2.1500000000,0.0000732655
1.2500000000,-2.1000000000,0.0000745574
1.2500000000,-2.0500000000,0.0000758873
1.2500000000,-2.0000000000,0.0000772562
1.2500000000,-1.9500000000,0.0000786653
1.2500000000,-1.9000000000,0.0000801156
1.2500000000,-1.8500000000,0.0000816084
1.2500000000,-1.8000000000,0.0000831444
1.2500000000,-1.7500000000,0.0000847248
1.2500000000,-1.7000000000,0.0000863504
1.2500000000,-1.6500000000,0.0000880218
1.2500000000,-1.6000000000,0.0000897398
1.2500000000,-1.5500000000,0.0000915047
1.2500000000,-1.5000000000,0.0000933168
1.2500000000,-1.4500000000,0.0000951760
1.2500000000,-1.4000000000,0.0000970821
1.2500000000,-1.3500000000,0.0000990341
1.2500000000,-1.3000000000,0.0001010312
1.2500000000,-1.2500000000,0.0001030716
1.2500000000,-1.2000000000,0.0001051533
1.2500000000,-1.1500000000,0.0001072732
1.2500000000,-1.1000000000,0.0001094281
1.2500000000,-1.0500000000,0.0001116134
1.2500000000,-1.0000000000,0.0001138239
1.2500000000,-0.9500000000,0.0001160532
1.2500000000,-0.9000000000,0.0001182941
1.2500000000,-0.8500000000,0.0001205380
1.2500000000,-0.8000000000,0.0001227750
1.2500000000,-0.7500000000,0.0001249941
1.2500000000,-0.7000000000,0.0001271828
1.2500000000,-0.6500000000,0.0001293276
1.2500000000,-0.6000000000,0.0001314134
1.2500000000,-0.5500000000,0.0001334242
1.2500000000,-0.5000000000,0.0001353432
1.2500000000,-0.4500000000,0.0001371528
1.2500000000,-0.4000000000,0.0001388350
1.2500000000,-0.3500000000,0.0001403719
1.2500000000,-0.3000000000,0.0001417460
1.2500000000,-0.2500000000,0.0001429407
1.2500000000,-0.2000000000,0.0001439411
1.2500000000,-0.1500000000,0.0001447338
1.2500000000,-0.1000000000,0.0001453082
1.2500000000,-0.0500000000,0.0001456561
1.2500000000,-0.0000000000,0.0001457726
1.3000000000,-3.0000000000,0.0000579588
1.3000000000,-2.9500000000,0.0000587825
1.3000000000,-2.9000000000,0.0000596276
1.3000000000,-2.8500000000,0.0000604948
1.3000000000,-2.8000000000,0.0000613848
1.3000000000,-2.7500000000,0.0000622985
1.3000000000,-2.7000000000,0.0000632366
1.3000000000,-2.6500000000,0.0000642000
1.3000000000,-2.6000000000,0.0000651896
1.3000000000,-2.5500000000,0.0000662061
1.3000000000,-2.5000000000,0.0000672505
1.3000000000,-2.4500000000,0.0000683238
1.3000000000,-2.4000000000,0.0000694268
1.3000000000,-2.3500000000,0.0000705605
1.3000000000,-2.3000000000,0.0000717260
1.3000000000,-2.2500000000,0.0000729242
1.3000000000,-2.2000000000,0.0000741562
1.3000000000,-2.1500000000,0.0000754228
1.3000000000,-2.1000000000,0.0000767252
1.3000000000,-2.0500000000,0.0000780644
1.3000000000,-2.0000000000,0.0000794413
1.3000000000,-1.9500000000,0.0000808569
1.3000000000,-1.9000000000,0.0000823121
1.3000000000,-1.8500000000,0.0000838079
1.3000000000,-1.8000000000,0.0000853449
1.3000000000,-1.7500000000,0.0000869240
1.3000000000,-1.7000000000,0.0000885458
