radius_m,distance_m,fs_hz,truth_deg,exact_estimate_deg,rounded_estimate_deg,exact_signed_error_deg,rounded_signed_error_deg
0.025,0.5,16000,-129.37,-129.9973218851714,-150.00000000000003,-0.6273218851713978,-20.630000000000024
0.025,0.5,16000,-128.87,-129.50606115003202,-150.00000000000003,-0.6360611500320204,-21.130000000000024
0.025,0.5,16000,-128.37,-129.01437185567667,-150.00000000000003,-0.6443718556766669,-21.630000000000024
0.025,0.5,16000,-127.87,-128.5222480248893,-150.00000000000003,-0.6522480248893032,-22.130000000000024
0.025,0.5,16000,-127.37,-128.0296839586988,-150.00000000000003,-0.6596839586987926,-22.630000000000024
0.025,0.5,16000,-126.87,-127.53667424106006,-120.00000000000001,-0.6666742410600364,6.8700000000000045
0.025,0.5,16000,-126.37,-127.04321374338954,-120.00000000000001,-0.6732137433895389,6.3700000000000045
0.025,0.5,16000,-125.87,-126.54929762895831,-120.00000000000001,-0.6792976289582953,5.8700000000000045
0.025,0.5,16000,-125.37,-126.05492135713122,-120.00000000000001,-0.6849213571312021,5.3700000000000045
0.025,0.5,16000,-124.87,-125.5600806874512,-120.00000000000001,-0.6900806874512,4.8700000000000045
0.025,0.5,16000,-124.37,-125.06477168356035,-120.00000000000001,-0.6947716835603615,4.3700000000000045
0.025,0.5,16000,-123.87,-124.56899071695454,-120.00000000000001,-0.6989907169545404,3.8700000000000045
0.025,0.5,16000,-123.37,-124.07273447056633,-120.00000000000001,-0.7027344705663268,3.3700000000000045
0.025,0.5,16000,-122.87,-123.57599994216879,-120.00000000000001,-0.7059999421687735,2.8700000000000045
0.025,0.5,16000,-122.37,-123.07878444759943,-120.00000000000001,-0.7087844475994416,2.3700000000000045
0.025,0.5,16000,-121.87,-122.58108562379374,-120.00000000000001,-0.7110856237937355,1.8700000000000045
0.025,0.5,16000,-121.37,-122.08290143162614,-120.00000000000001,-0.7129014316261362,1.3700000000000045
0.025,0.5,16000,-120.87,-121.58423015855496,-120.00000000000001,-0.7142301585549546,0.8700000000000045
0.025,0.5,16000,-120.37,-121.0850704210608,-120.00000000000001,-0.7150704210608012,0.37000000000000455
0.025,0.5,16000,-119.87,-120.58542116687906,-120.00000000000001,-0.7154211668790538,-0.12999999999999545
0.025,0.5,16000,-119.37,-120.08528167701937,-120.00000000000001,-0.7152816770193624,-0.6299999999999955
0.025,0.5,16000,-118.87,-119.58465156756445,-120.00000000000001,-0.7146515675644309,-1.1299999999999955
0.025,0.5,16000,-118.37,-119.08353079124919,-120.00000000000001,-0.713530791249184,-1.6299999999999955
0.025,0.5,16000,-117.87,-118.58191963880954,-120.00000000000001,-0.7119196388095475,-2.1299999999999955
0.025,0.5,16000,-117.37,-118.07981874010174,-120.00000000000001,-0.7098187401017526,-2.6299999999999955
0.025,0.5,16000,-116.87,-117.57722906498303,-120.00000000000001,-0.7072290649830393,-3.1299999999999955
0.025,0.5,16000,-116.37,-117.0741519239523,-120.00000000000001,-0.7041519239522813,-3.6299999999999955
0.025,0.5,16000,-115.87,-116.57058896854626,-120.00000000000001,-0.7005889685462421,-4.1299999999999955
0.025,0.5,16000,-115.37,-116.06654219148646,-120.00000000000001,-0.6965421914864578,-4.6299999999999955
0.025,0.5,16000,-114.87,-115.56201392657344,-120.00000000000001,-0.692013926573452,-5.1299999999999955
0.025,0.5,16000,-114.37,-115.05700684832476,-120.00000000000001,-0.6870068483247564,-5.6299999999999955
0.025,0.5,16000,-113.87,-114.55152397135467,-120.00000000000001,-0.6815239713546646,-6.1299999999999955
0.025,0.5,16000,-113.37,-114.04556864948978,-120.00000000000001,-0.6755686494897759,-6.6299999999999955
0.025,0.5,16000,-112.87,-113.53914457461988,-120.00000000000001,-0.6691445746198781,-7.1299999999999955
0.025,0.5,16000,-112.37,-113.03225577528079,-120.00000000000001,-0.6622557752807836,-7.6299999999999955
0.025,0.5,16000,-111.87,-112.52490661496653,-120.00000000000001,-0.654906614966535,-8.129999999999995
0.025,0.5,16000,-111.37,-112.01710179016997,-120.00000000000001,-0.6471017901699838,-8.629999999999995
0.025,0.5,16000,-110.87,-111.50884632814687,-120.00000000000001,-0.638846328146883,-9.129999999999995
0.025,0.5,16000,-110.37,-111.00014558440725,-120.00000000000001,-0.630145584407245,-9.629999999999995
0.025,0.5,16000,-109.87,-110.4910052399276,-120.00000000000001,-0.621005239927598,-10.129999999999995
0.025,0.5,16000,-109.37,-109.9814312980856,-120.00000000000001,-0.6114312980855914,-10.629999999999995
0.025,0.5,16000,-108.87,-109.47143008131773,-120.00000000000001,-0.6014300813177442,-11.129999999999995
0.025,0.5,16000,-108.37,-108.96100822749713,-120.00000000000001,-0.5910082274971273,-11.629999999999995
0.025,0.5,16000,-107.87,-108.45017268603344,-120.00000000000001,-0.5801726860334497,-12.129999999999995
0.025,0.5,16000,-107.37,-107.93893071369553,-120.00000000000001,-0.5689307136955222,-12.629999999999995
0.025,0.5,16000,-106.87,-107.42728987015653,-120.00000000000001,-0.5572898701565236,-13.129999999999995
0.025,0.5,16000,-106.37,-106.91525801326395,-120.00000000000001,-0.5452580132639469,-13.629999999999995
0.025,0.5,16000,-105.87,-106.40284329403556,-90.00000000000001,-0.5328432940355583,15.870000000000005
0.025,0.5,16000,-105.37,-105.89005415138384,-90.00000000000001,-0.5200541513838175,15.370000000000005
0.025,0.5,16000,-104.87,-105.37689930656914,-90.00000000000001,-0.5068993065691529,14.870000000000005
0.025,0.5,16000,-104.37,-104.86338775739009,-90.00000000000001,-0.49338775739008156,14.370000000000005
0.025,0.5,16000,-103.87,-104.34952877210667,-90.00000000000001,-0.47952877210667566,13.870000000000005
0.025,0.5,16000,-103.37,-103.83533188310592,-90.00000000000001,-0.4653318831059323,13.370000000000005
0.025,0.5,16000,-102.87,-103.3208068803114,-90.00000000000001,-0.45080688031140426,12.870000000000005
