group,frames_averaged,duration_s,cov_prediction_rmse_deg,iid_prediction_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
low,128,5.461333333333333,0.8411544814609824,0.8430203373309333,36,180,180,0.8351997273908767,0.8153762810970038,0.8537940733101977,0.4972848600061445,1.4184414813586477,-0.1085939722157354,-0.10858201826511912,0.9998955581917426,-0.12483039664267476,-0.09316164086564752,0.0,0.0,0.0
high,1,0.042666666666666665,39.507901452765445,39.507901452765445,36,180,23040,39.04379753200034,38.43862642272931,39.60660261614076,7.279384231074218,62.24418663923933,1.7978343282633849,1.3577402698577385,0.8429307566241069,1.116642099387985,1.5705646043563088,0.6301649305555556,0.6246527777777777,0.6354166666666666
high,2,0.08533333333333333,28.851597692184857,28.779855441095286,36,180,11520,31.741029615999317,31.102840324870353,32.382984225932134,6.659385492683349,51.292264611438064,1.7197093282633853,1.5849554168428315,0.8816812040411431,1.2585137059091134,1.9390968976845309,0.5947048611111111,0.5879340277777778,0.6015625
high,4,0.17066666666666666,21.508704492954248,21.493789340523456,36,180,5760,24.00722050608812,23.033595361283638,24.914856568792004,6.307149558234054,28.95466746545944,1.91919843815344,1.6819454446489408,0.9325022995357073,1.3941678705574096,1.9975919797673654,0.571875,0.5630208333333333,0.5809027777777778
high,8,0.3413333333333333,16.59387262550528,16.698336166128314,36,180,2880,18.380135965245774,17.36923138049883,19.365289356928198,5.419425304485266,21.50331136548103,2.188918294403565,1.806941507093088,0.9585135258063744,1.4848812919779086,2.1121242076321334,0.5336805555555556,0.5215277777777778,0.5475694444444444
high,16,0.6826666666666666,13.534603602583546,13.684303269371927,36,180,1440,13.65710000439841,12.658012925643806,14.560799674619389,4.8831740342006675,17.3372798561378,2.2258399113227725,1.971914456654025,0.9749397108075926,1.6738616320373607,2.2592059261752357,0.4888888888888889,0.4708333333333333,0.5055729166666666
high,32,1.3653333333333333,11.717260080954034,11.89424308620353,36,180,720,11.374137451023707,10.54750970769238,12.19359185412025,4.524192022676855,14.581701404547264,2.184826715592254,2.080609292252009,0.981740346558417,1.7904503272225936,2.3516897863636728,0.45694444444444443,0.4360763888888889,0.4791666666666667
high,64,2.7306666666666666,10.753945278788422,10.889419172135817,36,180,360,10.621274957910678,9.814703985513988,11.485449655091593,4.322916611740514,14.759931730769237,2.202837578198614,2.1122941814183966,0.9840535025043454,1.8351774463831183,2.3964602175182774,0.4638888888888889,0.43333333333333335,0.49444444444444446
high,128,5.461333333333333,10.26917410389042,10.3504910783435,36,180,180,10.158318621503364,9.403718859917364,10.995401078714877,4.4747511506464654,13.567570737877558,2.197900777894935,2.115034819015443,0.9853996228385994,1.8544257660835974,2.4073831723683963,0.46111111111111114,0.42777777777777776,0.49444444444444446
eligible,1,0.042666666666666665,8.588681432493601,8.588681432493601,49,245,31360,8.14574131096711,7.78281052428815,8.511167531679236,1.2923274462367687,6.38648596766525,0.15597488271321086,0.08316737831877945,0.9921592396813937,0.035147320249656964,0.13010455145279337,0.13262117346938776,0.12990991709183675,0.13517299107142858
