fs_hz,seed,truth_deg,interp,difference_from_64_deg,oracle_error_deg
48000,29,247.37,64,0.0,-0.4433261061039957
48000,29,277.37,8,2.035404605749136e-05,0.18095624970851532
48000,29,277.37,16,-7.236019996526011e-07,0.18093517206045817
48000,29,277.37,32,7.766533371977857e-08,0.1809359733278484
48000,29,277.37,64,0.0,0.18093589566251467
48000,29,307.37,8,-2.3844419843044307e-06,0.4405606334152026
48000,29,307.37,16,-4.265800725988811e-07,0.44056259127705744
48000,29,307.37,32,-1.9108128412881342e-07,0.4405628267758743
48000,29,307.37,64,0.0,0.44056301785713003
48000,29,337.37,8,-1.7791660383181807e-05,-0.1781924209892054
48000,29,337.37,16,-1.4367220160238503e-06,-0.17817606605080982
48000,29,337.37,32,1.2454694342522998e-07,-0.17817450478190722
48000,29,337.37,64,0.0,-0.17817462932885064
96000,11,7.37,8,-1.9096761434411746e-06,-0.44448811779250263
96000,11,7.37,16,-4.9610036967351334e-08,-0.44448625772636774
96000,11,7.37,32,-2.557771949796006e-08,-0.4444862336940787
96000,11,7.37,64,0.0,-0.4444862081163592
96000,11,37.37,8,-6.283937921125471e-07,0.18141417692672235
96000,11,37.37,16,3.782420776587969e-08,0.18141484314472223
96000,11,37.37,32,-1.3552551081374986e-08,0.18141479176796338
96000,11,37.37,64,0.0,0.18141480532051446
96000,11,67.37,8,-3.591470658648177e-07,0.44170620463756904
96000,11,67.37,16,-1.9786668303822808e-07,0.44170636591795187
96000,11,67.37,32,-8.6656086750736e-09,0.44170655511902623
96000,11,67.37,64,0.0,0.4417065637846349
96000,11,97.37,8,-1.3553743656302686e-06,-0.1786362350638342
96000,11,97.37,16,1.4568166761819157e-07,-0.17863473400777252
96000,11,97.37,32,2.4186419977922924e-08,-0.17863485550302016
96000,11,97.37,64,0.0,-0.17863487968944014
96000,11,127.37,8,-1.9096763139714312e-06,-0.44448811779250263
96000,11,127.37,16,-4.9609980123932473e-08,-0.4444862577261688
96000,11,127.37,32,-2.5577946871635504e-08,-0.44448623369413554
96000,11,127.37,64,0.0,-0.44448620811618866
96000,11,157.37,8,-6.283942752816074e-07,0.18141417692663708
96000,11,157.37,16,3.7823781440238236e-08,0.1814148431446938
96000,11,157.37,32,-1.3552664768212708e-08,0.1814147917682476
96000,11,157.37,64,0.0,0.18141480532091236
96000,11,187.37,8,-3.591494817101193e-07,0.4417062046375122
96000,11,187.37,16,-1.978691273052391e-07,0.4417063659178666
96000,11,187.37,32,-8.666972917126259e-09,0.44170655511999257
96000,11,187.37,64,0.0,0.4417065637869655
96000,11,217.37,8,-1.35537280243625e-06,-0.17863623506389104
96000,11,217.37,16,1.4568311712537252e-07,-0.17863473400802832
96000,11,217.37,32,2.4188040015360457e-08,-0.17863485550310543
96000,11,217.37,64,0.0,-0.17863487969111702
96000,11,247.37,8,-1.9096750634162163e-06,-0.4444881177926163
96000,11,247.37,16,-4.9608701147008105e-08,-0.44448625772622563
96000,11,247.37,32,-2.557692369009601e-08,-0.4444862336944766
96000,11,247.37,64,0.0,-0.4444862081175529
96000,11,277.37,8,-6.283938205342565e-07,0.18141417692663708
96000,11,277.37,16,3.782406565733254e-08,0.18141484314458012
96000,11,277.37,32,-1.3552266864280682e-08,0.18141479176819075
96000,11,277.37,64,0.0,0.18141480532045762
96000,11,307.37,8,-3.5914749219045916e-07,0.44170620463768273
96000,11,307.37,16,-1.978671662072884e-07,0.4417063659179803
96000,11,307.37,32,-8.665892892167903e-09,0.4417065551192536
96000,11,307.37,64,0.0,0.4417065637851465
96000,11,337.37,8,-1.3553742235217214e-06,-0.17863623506377735
96000,11,337.37,16,1.4568172446161043e-07,-0.1786347340078578
96000,11,337.37,32,2.4186533664760645e-08,-0.17863485550304858
96000,11,337.37,64,0.0,-0.17863487968958225
96000,29,7.37,8,-2.026460037996003e-06,-0.44332313646151533
96000,29,7.37,16,-5.871305575055885e-08,-0.4433211687145331
96000,29,7.37,32,-2.5671596404208685e-08,-0.44332113567307374
96000,29,7.37,64,0.0,-0.44332111000147734
96000,29,37.37,8,-7.355915840889793e-07,0.18093580637361129
96000,29,37.37,16,6.357402071444085e-08,0.1809366055392161
96000,29,37.37,32,-1.3553972166846506e-08,0.18093652841125163
96000,29,37.37,64,0.0,0.18093654196519537
96000,29,67.37,8,-4.357068519311724e-07,0.4405590350231705
96000,29,67.37,16,-2.0141467871326313e-07,0.4405592693153437
96000,29,67.37,32,-9.9825570032408e-09,0.44055946074746544
96000,29,67.37,64,0.0,0.44055947073002244
96000,29,97.37,8,-1.4110013353274553e-06,-0.17817476890161288
96000,29,97.37,16,1.4918970236976747e-07,-0.17817320871057518
96000,29,97.37,32,2.4636108264530776e-08,-0.1781733332641693
96000,29,97.37,64,0.0,-0.17817335790027755
96000,29,127.37,8,-2.026460379056516e-06,-0.4433231364615722
96000,29,127.37,16,-5.871345365449088e-08,-0.4433211687146752
96000,29,127.37,32,-2.5672306946944445e-08,-0.44332113567350007
96000,29,127.37,64,0.0,-0.4433211100011931
96000,29,157.37,8,-7.35592095679749e-07,0.1809358063734976
96000,29,157.37,16,6.35735091236711e-08,0.1809366055391024
96000,29,157.37,32,-1.3554455335906823e-08,0.18093652841113794
96000,29,157.37,64,0.0,0.18093654196559328
96000,29,187.37,8,-4.357068519311724e-07,0.4405590350231705
96000,29,187.37,16,-2.0141467871326313e-07,0.44055926931537215
96000,29,187.37,32,-9.982869642044534e-09,0.4405594607471812
96000,29,187.37,64,0.0,0.44055947073002244
96000,29,217.37,8,-1.411002443774123e-06,-0.17817476890161288
96000,29,217.37,16,1.491885939230997e-07,-0.17817320871063203
