fs_hz,samples,duration_s,seed,truth_deg,kernel_half_width,relative_waveform_l2,propagation_angular_difference_deg,oracle_angular_error_deg,fir_angular_error_deg
16000,683,0.0426875,29,277.37,16,4.49989313006889e-06,1.3187576087148045e-05,0.1807678197301925,0.18078100730627966
16000,683,0.0426875,29,277.37,32,3.157253003721499e-06,6.097329730891943e-06,0.1807678197301925,0.1807739170599234
16000,683,0.0426875,29,277.37,64,2.7388358194172026e-06,1.925459969243093e-07,0.1807678197301925,0.18076801227618944
16000,683,0.0426875,29,307.37,16,3.8073632520859555e-06,1.8746964940419275e-05,0.4407315272129608,0.44075027417790125
16000,683,0.0426875,29,307.37,32,2.673310084298818e-06,9.007834563590222e-06,0.4407315272129608,0.44074053504755284
16000,683,0.0426875,29,307.37,64,2.3215477334604496e-06,-1.0713614528867765e-07,0.4407315272129608,0.44073142007681554
16000,683,0.0426875,29,337.37,16,4.695905635307182e-06,1.234071271483117e-05,-0.1782449116025191,-0.17823257088980426
16000,683,0.0426875,29,337.37,32,3.2942081419598157e-06,6.063733593464349e-06,-0.1782449116025191,-0.1782388478688972
16000,683,0.0426875,29,337.37,64,2.8628332347158203e-06,-1.9031801912205992e-07,-0.1782449116025191,-0.17824510192053822
48000,2048,0.042666666666666665,11,7.37,16,1.8296166508277194e-06,-8.485664011459448e-06,-0.4445034733896023,-0.4445119590535853
48000,2048,0.042666666666666665,11,7.37,32,3.393821269367314e-06,-3.2320570255706116e-06,-0.4445034733896023,-0.44450670544662785
48000,2048,0.042666666666666665,11,7.37,64,2.6798258192397826e-06,-2.1806710321925493e-06,-0.4445034733896023,-0.44450565406060605
48000,2048,0.042666666666666665,11,37.37,16,1.5908771825136883e-06,-2.2406488994874962e-05,0.18143748770896195,0.18141508121993866
48000,2048,0.042666666666666665,11,37.37,32,2.9563553556637783e-06,-8.678344812551586e-06,0.18143748770896195,0.1814288093641494
48000,2048,0.042666666666666665,11,37.37,64,2.33432330665951e-06,-5.435514083274029e-06,0.18143748770896195,0.18143205219487868
48000,2048,0.042666666666666665,11,67.37,16,1.8918464210399755e-06,-3.839733153654379e-08,0.44171210642042524,0.4417120680230937
48000,2048,0.042666666666666665,11,67.37,32,3.50169778827182e-06,1.250350294412783e-07,0.44171210642042524,0.4417122314554831
48000,2048,0.042666666666666665,11,67.37,64,2.762985915711947e-06,2.1822319240527577e-07,0.44171210642042524,0.44171232464361765
48000,2048,0.042666666666666665,11,97.37,16,1.3536127531325052e-06,-1.9667577987547702e-05,-0.1786550115699015,-0.17867467914788904
48000,2048,0.042666666666666665,11,97.37,32,2.5105230064444244e-06,-7.5305076165932405e-06,-0.1786550115699015,-0.17866254207751808
48000,2048,0.042666666666666665,11,97.37,64,1.983939266080171e-06,-4.682826727275824e-06,-0.1786550115699015,-0.17865969439662877
48000,2048,0.042666666666666665,11,127.37,16,1.8296166508277194e-06,-8.485664068302867e-06,-0.44450347338954543,-0.44451195905361374
48000,2048,0.042666666666666665,11,127.37,32,3.393821269367314e-06,-3.232057053992321e-06,-0.44450347338954543,-0.4445067054465994
48000,2048,0.042666666666666665,11,127.37,64,2.679825819239782e-06,-2.1806710606142587e-06,-0.44450347338954543,-0.44450565406060605
48000,2048,0.042666666666666665,11,157.37,16,1.5908771825136883e-06,-2.240648905171838e-05,0.18143748770904722,0.1814150812199955
48000,2048,0.042666666666666665,11,157.37,32,2.9563553556637783e-06,-8.678344869395005e-06,0.18143748770904722,0.18142880936417782
48000,2048,0.042666666666666665,11,157.37,64,2.3343233066595095e-06,-5.435514168539157e-06,0.18143748770904722,0.18143205219487868
48000,2048,0.042666666666666665,11,187.37,16,1.8918464210399755e-06,-3.839744522338151e-08,0.4417121064204821,0.4417120680230937
48000,2048,0.042666666666666665,11,187.37,32,3.50169778827182e-06,1.2503500101956888e-07,0.4417121064204821,0.44171223145553995
48000,2048,0.042666666666666665,11,187.37,64,2.762985915711948e-06,2.1822316398356634e-07,0.4417121064204821,0.4417123246436745
48000,2048,0.042666666666666665,11,217.37,16,1.3536127525261408e-06,-1.966757753280035e-05,-0.17865501156995833,-0.17867467914749113
48000,2048,0.042666666666666665,11,217.37,32,2.5105230068134165e-06,-7.530507389219565e-06,-0.17865501156995833,-0.17866254207734755
48000,2048,0.042666666666666665,11,217.37,64,1.9839392672928002e-06,-4.682826386215311e-06,-0.17865501156995833,-0.17865969439634455
48000,2048,0.042666666666666665,11,247.37,16,1.8296166516825345e-06,-8.485663727242354e-06,-0.4445034733896023,-0.4445119590533295
48000,2048,0.042666666666666665,11,247.37,32,3.393821269878303e-06,-3.232056712931808e-06,-0.4445034733896023,-0.4445067054463152
48000,2048,0.042666666666666665,11,247.37,64,2.6798258197752303e-06,-2.180670747975455e-06,-0.4445034733896023,-0.44450565406032183
48000,2048,0.042666666666666665,11,277.37,16,1.5908771815937832e-06,-2.2406488881188125e-05,0.18143748770899037,0.1814150812201092
48000,2048,0.042666666666666665,11,277.37,32,2.95635535513852e-06,-8.67834464202133e-06,0.18143748770899037,0.18142880936431993
48000,2048,0.042666666666666665,11,277.37,64,2.3343233060590194e-06,-5.435513912743772e-06,0.18143748770899037,0.18143205219507763
48000,2048,0.042666666666666665,11,307.37,16,1.8918464210399753e-06,-3.839738837996265e-08,0.4417121064204821,0.4417120680230937
48000,2048,0.042666666666666665,11,307.37,32,3.501697788271819e-06,1.2503505786298774e-07,0.4417121064204821,0.44171223145553995
48000,2048,0.042666666666666665,11,307.37,64,2.762985915711947e-06,2.1822316398356634e-07,0.4417121064204821,0.4417123246436745
48000,2048,0.042666666666666665,11,337.37,16,1.3536127532505266e-06,-1.9667577987547702e-05,-0.17865501156984465,-0.1786746791478322
48000,2048,0.042666666666666665,11,337.37,32,2.510523006517726e-06,-7.530507673436659e-06,-0.17865501156984465,-0.17866254207751808
48000,2048,0.042666666666666665,11,337.37,64,1.98393926614771e-06,-4.682826755697533e-06,-0.17865501156984465,-0.17865969439662877
48000,2048,0.042666666666666665,29,7.37,16,1.8624683315919735e-06,-1.0917631897200408e-05,-0.4433360795441956,-0.4433469971760928
48000,2048,0.042666666666666665,29,7.37,32,3.414448838027952e-06,-4.761283236121017e-06,-0.4433360795441956,-0.44334084082743175
48000,2048,0.042666666666666665,29,7.37,64,2.5768907631097284e-06,-2.480252788927828e-06,-0.4433360795441956,-0.44333855979698455
