scene_id,room,placement,rt_index,angle_index,snr_db,nominal_rt60_s,t20_s,t20_r2,component_drr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p1t2a06,0,1,2,6,0.0,0.6,0.6680027307917392,0.9993909860964915,-7.718871253512197,1,5,160,39.53508993641463,33.406490237341494,44.83361554217097,10.368021200034747,63.60071037183335,9.88438676190253,6.9531279002385435,0.8330368434188336,4.688303019985655,8.733766671406855,0.725,0.70625,0.74375
r0p1t2a06,0,1,2,6,10.0,0.6,0.6680027307917392,0.9993909860964915,-7.718871253512197,1,5,160,26.663185782937234,18.56722989049477,32.85781256144338,8.146416275503185,41.422967972188225,8.591598328364267,7.20212693057084,0.9187411691259775,3.6397899944795964,10.898124045307325,0.675,0.60625,0.73125
r0p1t2a06,0,1,2,6,20.0,0.6,0.6680027307917392,0.9993909860964915,-7.718871253512197,1,5,160,26.337659912294384,18.71274798693139,32.20524370485266,8.443050999756238,32.861721930505844,5.511544173960578,5.139692024119674,0.9165532348013723,3.472736176899324,6.816861689792311,0.675,0.6,0.75
r0p1t2a07,0,1,2,7,0.0,0.6,0.6227596932544157,0.9986099395859628,-9.05549987552207,1,5,160,69.42049510256312,57.71102483112624,77.96155429621034,30.496089369482064,134.61031232462832,-3.294833823430049,11.295766715663873,0.534573861310804,0.07631427995293905,23.378980068283326,0.94375,0.89375,0.98125
r0p1t2a07,0,1,2,7,10.0,0.6,0.6227596932544157,0.9986099395859628,-9.05549987552207,1,5,160,75.19525260754105,68.04342711582864,83.79261632735506,29.04162638626383,147.88584378090158,1.3719727719392585,19.93458211180283,0.5109043265321795,11.748916415622748,28.08925372498155,0.9375,0.88125,0.98125
r0p1t2a07,0,1,2,7,20.0,0.6,0.6227596932544157,0.9986099395859628,-9.05549987552207,1,5,160,71.17012295058129,65.09332020399123,78.26169338081718,28.607844219242594,137.96674306004593,0.1924737615839959,16.936893259446602,0.5527867040890566,7.735419915263574,26.148616273665393,0.93125,0.8875,0.975
r0p1t2a08,0,1,2,8,0.0,0.6,0.6116073784524174,0.9985182052802837,-8.179667692263255,1,5,160,56.71184338758441,50.961156504852376,62.896460273031394,9.015411628040567,120.43372765744617,7.233572061815534,1.7254008563005747,0.6886124851088805,-6.347275540608087,9.983994710935427,0.7,0.64375,0.75625
r0p1t2a08,0,1,2,8,10.0,0.6,0.6116073784524174,0.9985182052802837,-8.179667692263255,1,5,160,55.94148706069481,50.45572000961415,61.20982945428873,7.769342351233291,125.16348548292042,11.612114361560383,2.7024195566051437,0.7248913255129209,-0.472766986235889,5.749841898517182,0.64375,0.55,0.7375
r0p1t2a08,0,1,2,8,20.0,0.6,0.6116073784524174,0.9985182052802837,-8.179667692263255,1,5,160,54.19501862524869,47.87238608047174,59.853443831949726,7.084281566974369,122.87962007030765,10.512967355378738,2.563952806958861,0.7302411761772244,0.7732485435945708,4.250935013354416,0.6375,0.56875,0.69375
r0p1t2a09,0,1,2,9,0.0,0.6,0.6499978814903401,0.9971757198286895,-7.7310220960928335,1,5,160,29.36760125606965,24.697057751859155,32.805763209820235,6.301522385372323,35.86751860340326,1.447674419442748,2.206501825581264,0.8938724536161172,-1.191809803913677,4.537371094000783,0.625,0.525,0.69375
r0p1t2a09,0,1,2,9,10.0,0.6,0.6499978814903401,0.9971757198286895,-7.7310220960928335,1,5,160,20.58962672485915,16.91105321431896,23.557757117686876,5.287342496793826,15.110974739700627,1.8899954903685345,2.2966340211198935,0.949153880601219,-0.21334144906973673,4.803399569885436,0.53125,0.4875,0.6
r0p1t2a09,0,1,2,9,20.0,0.6,0.6499978814903401,0.9971757198286895,-7.7310220960928335,1,5,160,14.70344897959396,6.830424327646756,20.7608357403503,4.8361932940556756,11.455190499026909,1.8497558101536484,2.127865209457963,0.9748426004398093,0.2032622493111207,3.7965744830544965,0.46875,0.43125,0.51875
r0p1t2a10,0,1,2,10,0.0,0.6,0.5861626062953427,0.9990851559839865,-7.98427180372377,1,5,160,18.464864413342465,12.362837445156774,23.353435849648545,6.023144057648295,15.630510782498392,-0.9789752914920093,-1.3984346015265248,0.9565842807651079,-3.7906441255682344,0.4471505186359719,0.6,0.53125,0.675
r0p1t2a10,0,1,2,10,10.0,0.6,0.5861626062953427,0.9990851559839865,-7.98427180372377,1,5,160,13.675097989220708,7.518220021123762,20.755614349697893,5.338087754337408,12.684164413102126,-2.5420693684065254,-3.262730747915688,0.981183467632323,-4.444849567517272,-2.0033524745539832,0.55625,0.53125,0.58125
r0p1t2a10,0,1,2,10,20.0,0.6,0.5861626062953427,0.9990851559839865,-7.98427180372377,1,5,160,7.7761020416034325,6.8647893257096095,8.624855623762684,5.220646797976087,11.851694713556405,-3.5059798908447015,-3.5276186276144554,0.9927375673728691,-4.588037755533517,-2.541589613696854,0.5375,0.50625,0.56875
r0p1t2a11,0,1,2,11,0.0,0.6,0.6350886464113734,0.998508546561846,-8.107188171428545,1,5,160,29.609433652662908,22.602921999542765,35.249752333108376,8.384756069188143,50.64412734606167,6.026077740370179,5.463000164375239,0.8903014368902541,2.594242727459396,8.446811878667113,0.6,0.55625,0.64375
r0p1t2a11,0,1,2,11,10.0,0.6,0.6350886464113734,0.998508546561846,-8.107188171428545,1,5,160,23.604706355070682,16.954132589830643,28.619457092410396,6.888952062838541,20.974471892452264,6.904951693285101,6.150126951546402,0.9323885102516299,3.1401911847354045,9.31569376609649,0.56875,0.53125,0.60625
