scene_id,room,placement,rt_index,angle_index,snr_db,nominal_rt60_s,t20_s,t20_r2,component_drr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p0t1a00,0,0,1,0,20.0,0.3,0.2811042901558442,0.9978952559096932,-4.101577001992005,1,5,160,5.792821347692069,5.117021894746779,6.4911102899892095,3.273852631307392,8.441881975861062,-0.9935258755541962,-1.0063265666037386,0.9950661443027401,-1.6173629313531057,-0.5078276496709782,0.3375,0.2875,0.39375
r0p0t1a01,0,0,1,1,0.0,0.3,0.2789722085143891,0.9989360276770396,-3.2132450036111324,1,5,160,14.349842913074571,5.766667434984189,20.38085619929755,4.08518590620352,10.288787705673244,3.861127829689701,3.212699402509726,0.9757136257165627,2.0810418476863064,4.391197534189542,0.39375,0.35,0.4625
r0p0t1a01,0,0,1,1,10.0,0.3,0.2789722085143891,0.9989360276770396,-3.2132450036111324,1,5,160,4.572184875167032,3.955818062412203,5.1307079974260175,3.092934583745375,7.58101570871687,2.2876767871258163,2.287841090963515,0.9976167251242196,2.064606188666052,2.5110769257884344,0.25625,0.1625,0.34375
r0p0t1a01,0,0,1,1,20.0,0.3,0.2789722085143891,0.9989360276770396,-3.2132450036111324,1,5,160,4.257177852675749,3.8627680156219895,4.60761071373385,2.784247264740344,7.105409838713381,2.152575474057901,2.153056580998975,0.9979476985870722,1.908382022445704,2.4452732173097442,0.25625,0.19375,0.31875
r0p0t1a02,0,0,1,2,0.0,0.3,0.2676456696490239,0.9987561368190815,-3.678226386863658,1,5,160,19.278375277866008,4.158043790616272,27.02147474596987,2.9443816185410867,7.244922153400139,1.372244004502093,-0.5985386539797656,0.9725645307419022,-0.9924707207310558,-0.25411858468824955,0.225,0.16875,0.28125
r0p0t1a02,0,0,1,2,10.0,0.3,0.2676456696490239,0.9987561368190815,-3.678226386863658,1,5,160,2.986426664749716,2.7964310873045957,3.1662167841165814,2.282726338190699,4.936698053432583,-0.8254496095875892,-0.8256439332281791,0.998746009629733,-1.3702919422880204,-0.3943250457195977,0.1,0.0625,0.1375
r0p0t1a02,0,0,1,2,20.0,0.3,0.2676456696490239,0.9987561368190815,-3.678226386863658,1,5,160,2.720433940142594,2.5638131028086866,2.8405949704906734,1.95745270583393,4.349144379944823,-0.929658736813724,-0.9299021928907483,0.999004852778274,-1.3292439575017998,-0.5828654766835915,0.0625,0.03125,0.0875
r0p0t1a03,0,0,1,3,0.0,0.3,0.28005880002173816,0.997895858433376,-2.903358117657451,1,5,160,5.086802118307642,4.582570138256921,5.781162448201509,3.3684102914036345,7.565607945470259,-0.5590799118482798,-0.5579929317460582,0.9961234720909271,-0.7820924613281065,-0.3298665147343215,0.275,0.225,0.33125
r0p0t1a03,0,0,1,3,10.0,0.3,0.28005880002173816,0.997895858433376,-2.903358117657451,1,5,160,3.344555186988438,3.0275270345982777,3.712076869326103,2.316415231670078,5.414046917616184,-0.8323946547731443,-0.8321567829326919,0.9984029905844597,-1.228496962215878,-0.46596223217066024,0.11875,0.08125,0.1625
r0p0t1a03,0,0,1,3,20.0,0.3,0.28005880002173816,0.997895858433376,-2.903358117657451,1,5,160,2.9817337113941647,2.6663008202691096,3.2703355927184847,2.1568566537576004,4.850371348514624,-0.7173211340084649,-0.7173885395724867,0.9987249511009246,-0.9856598540753553,-0.43534559060754396,0.09375,0.06875,0.125
r0p0t1a04,0,0,1,4,0.0,0.3,0.2784327048093808,0.9988176702584065,-3.5923664230892296,1,5,160,8.233275288106142,4.596489604440394,10.999862365505804,3.4904251491161205,7.725929099396533,-1.0820273941857297,-1.2222938576795321,0.9905479104189562,-1.7003871331836968,-0.7228879785771347,0.29375,0.23125,0.35625
r0p0t1a04,0,0,1,4,10.0,0.3,0.2784327048093808,0.9988176702584065,-3.5923664230892296,1,5,160,3.4873144737061406,3.366328104989397,3.604241885140225,2.56905882060515,5.681188589715253,-1.948152084719227,-1.9487076998104556,0.9987267675064347,-2.1816701050721576,-1.7564664393443934,0.15625,0.13125,0.18125
r0p0t1a04,0,0,1,4,20.0,0.3,0.2784327048093808,0.9988176702584065,-3.5923664230892296,1,5,160,3.3175818268629222,3.18982766922382,3.432885763562171,2.5451957469761197,5.178936546244904,-1.8363387174256083,-1.836575522740073,0.9988379010566044,-2.09046101648914,-1.5575971957139207,0.10625,0.0625,0.15
r0p0t1a05,0,0,1,5,0.0,0.3,0.2724671075273436,0.999382303777216,-3.701210780747907,1,5,160,11.711667041801755,8.727320851759865,14.939254536163762,7.32698767488877,15.206255716072194,-6.401403975467725,-6.6020788876653524,0.9867027938093772,-7.762892671989358,-5.678321125699138,0.675,0.6125,0.7375
r0p0t1a05,0,0,1,5,10.0,0.3,0.2724671075273436,0.999382303777216,-3.701210780747907,1,5,160,7.555978589015566,7.22424907054971,7.836073553349979,6.3915075475152605,11.600560495801236,-6.3608137654769,-6.359954541854615,0.9974703303842664,-6.907426126113444,-5.764942866381398,0.6,0.525,0.66875
